"	""	comments"""
"356	""356	neon green light or object traveled eastward then fell out of view&#44 no aircraft nearby"""
"357	""357	Large flaming tail and eratic movement - sudden change of direction"""
"358	""358	Multiple formations viewed by three witnesses."""
"359	""359	Hovering light seen over Williamsville&#44 NY"""
"360	""360	Formation spotted"""
"361	""361	light dancing over holliday florda"""
"362	""362	((NUFORC Note:  Possible star.  PD))  Bright colorfull glowing ball."""
"363	""363	Round light appeared to be surrounded by fog&#44 approaced from south neaded NNE&#44 changed speed&#44 then turned sharply west."""
"364	""364	((NUFORC Note:  Possible satellites.  PD))  Needles Outpost: I was admiring the stars I saw 3 moving objects&#44 all in a row."""
"365	""365	Lights near  Lake Point/Grantsville&#44 UT"""
"366	""366	Fast moving light in the sky South of Peal Harbor"""
"367	""367	Formation of amber lights over Tolleson&#44 AZ that flickered off and on for about 90 minutes."""
"368	""368	two different multi-light configurations that changed position and appeared low in the sky south of Buckeye&#44 Arizona"""
"369	""369	amber lights over I-10 near Casa Grande Az."""
"370	""370	3 light triangle stayed perfectly still and then shot off fter 3 seconds of stillness."""
"371	""371	((NUFORC Note:  Possible sighting of Mars.  PD))  Massive brilliant white light that just hung in the Southern sky."""
"372	""372	oval sahped  the whole thing was lit up with a very bright white light&#44 huvered over the trees&#44disappeared"""
"373	""373	strange shit in the sky in sac county iowa."""
"374	""374	A light it was a oval shape duration was 1hr"""
"375	""375	Circle shaped solid white object flying through clouds."""
"376	""376	i work as a security guard at the calume t city airport. i have grave yard shift fom 11:pm to 7 am. i was doing my round checking the p"""
"377	""377	Illuminated but not shiny disc  with three large pulsing lights underside&#44 white to red&#44 following path along the Atlantic coastline."""
"378	""378	The first object was shaped like an oval and appeared coming out the southwest traveling in an eastern direction this object appeared t"""
"379	""379	I noticed a very white tail behind an object traveling north in the southern sky. It appeared to be very high and far away. The object"""
"380	""380	huge ball of fire hanging in the sky"""
"381	""381	Northern Lights ?? Right&#33"""
"382	""382	Six orange glowing diamond shaped objects in two separate clusters due east of Pensacola"""
"383	""383	THE LIGHTS KEPT FLASHING AND MOVING AT VERY HIGH SPEEDS SHOWING UP THEN WOULD BE GONE IN AN INSTANT THEN FLYING SIDE WAYS UNLIKE ANY PL"""
"384	""384	Shape of object wasn&#39t wisible. Light spots shine in triangular shape"""
"385	""385	White light imploded"""
"386	""386	Fast moving ball of light speeds across the sky."""
"387	""387	Two triangular objects&#44 lit up by three main lights and other lights in between&#44 moving simotaniously to the East over Pampa Tx."""
"388	""388	I was walking from the garage to the house&#44I happen to look up at a plane I hurd over head&#44 a small private plane. There&#39s a small air"""
"389	""389	flashing lights spotted near Ohio River"""
"390	""390	it was not anything thath we have"""
"391	""391	Silver circular or sphere-like object flying parallel to I-205 in the Gladstone/Clackamas area."""
"392	""392	Accidentally photographed very strange UFO"""
"393	""393	I saw two orange colored lights&#44 close together but moving independently across the sky&#44 at high rate of speed. Then they disappeared."""
"394	""394	Bright white light and then 2 blinking red lights in Western Sky"""
"395	""395	Brightly lighted Object appeared total of 6-8 times in different locations in night sky over ocean for few seconds and disappeared"""
"396	""396	Yellow lights in formation"""
"397	""397	It came from the direction of the city&#44 when I stood on a hill in total darkness in the countryside. It was moving strangely&#44  not stra"""
"398	""398	I saw a ufo for 3 seconds by my house."""
"399	""399	Very small lights&#44 very high. moved at great speed and cganged direction. Not aircraft."""
"400	""400	7 UNKOWN AIRBORN OBJECT&#39S SEEN OVER  SALISBURY NC..SEARCH GRID WITNESSED&#33&#33.."""
"401	""401	Very large long white cylinder object traveling high up and smoothly above storm clouds."""
"402	""402	I saw 6 glowing orbs lining up in different formations witin a 2 hour period over Long Island Sound."""
"403	""403	freinds and familes see UFO"""
"404	""404	Bright light moving from NW to SE"""
"405	""405	A dark flying V."""
"406	""406	MYSTERIOUS LIGHTS IN THE TEXAS SKY."""
"407	""407	Several Orange Lights Over Vila Park Lomabrd Areas 10-11-2008"""
"408	""408	Vehicle out of southern sky thought to be shooting star hovers over city."""
"409	""409	Large Triangle sighted over L.A"""
"410	""410	Unusaul flight charactoristics"""
"411	""411	2 Bright Orange lights in the sky moving up&#44 down&#44 and circular motion with shooting streaking trail -looked like shooting star"""
"412	""412	A bright light moving across the sky getting closer stopped on a dime got brighter and took off with no sounds at all"""
"413	""413	Bending streak of white light over suburban area."""
"414	""414	I was standing on a sidewalk near salem high school where i saw a triangular shaped craft slowly gliding right over my head. my mom jus"""
"415	""415	2 eggshaped objects over Glendale Az. near stadium."""
"416	""416	strange object photographed over Louisville&#44 Kentucky October 11&#44 2009"""
"417	""417	At around 6pm (18:00 hours) I was outside in the backyard of my home with my Canon EOS Rebel XT digital camera taking photographs of na"""
"418	""418	I was watching the sky like I always do on a clear night because you can always see what appear to be stars riding along the night sky."""
"419	""419	Two Hovering Aircraft Spotted Around a Strange Haze"""
"420	""420	Amber orange light moving very slowly&#44 dimming out&#44 shooting away."""
"421	""421	three lights that changed colors rapidly suspended over the ocean that increased and decreased in intensity often"""
"422	""422	bow shockwave with rectangle craft it was hyperfast"""
"423	""423	Oval metallic object"""
"424	""424	Electrical Sphere shape morning sky over Palm Beach Florida"""
"425	""425	slowmoveing  fire ball in sky"""
"426	""426	Craft with two white lights in Minneapolis Approach Pattern that moved down and not forward then disappered behind the tree line."""
"427	""427	I was north on a mountain facing south with my friend. We were star gazing and I looked up in the sky at about a 45 degree angle and sa"""
"428	""428	We believed this object to be an airplane on fire"""
"429	""429	Opposing lights of amber that sliently crossed low in the sky."""
"430	""430	Fireball lifted into the sky and dissipated into a cloud."""
"431	""431	I noticed the craft as it had just passed over Rt 1. i brought my semi to a stop and shut down the engine. the craft was very large&#44as"""
"432	""432	UFO Report:  Date: October 11th&#44 2011 Location: Las Vegas&#44 NV (near Henderson&#44 NV) Time: 8:40 A.M. Near Las Vegas Nevada&#44 I was out"""
"433	""433	Bright&#44 white&#44 star-like UFO over Cedar City at 1500 on sunny day."""
"434	""434	An unexplained&#44 unidentified flying object."""
"435	""435	At least 25 orange and red fireballs fly over New Bedford&#44 MA&#44 USA"""
"436	""436	Orange Light Formation Over Monroe&#44 CT 10/11/11--Hangs in Sky then Flys Away."""
"437	""437	6 orange balls of light over the Atlantic ocean."""
"438	""438	Unknown lights."""
"439	""439	Big extremely bright white light hovering in sky"""
"440	""440	Orange sphere moving in unbeliveable ways&#44&#44&#44another green spehere near by with rays emerging form it.  Bizarre"""
"441	""441	Huge white streaking object moving high rate of speeds in night sky"""
"442	""442	Saw a object that was very odd in the sky over the ocean off fire island inlet&#33&#33"""
"443	""443	4 objects metalic reflecting from rising sun in the east&#44 then witnessed what looked to be 7 more objects in a straight line. Then hear"""
"444	""444	Moving star and strange man"""
"445	""445	Slow moving bright light"""
"446	""446	Brightly lit object&#44 twice the size of a planet&#44  traversed the night sky&#44 dimmed&#44 and disappeared from view.((NUFORC Note:  ISS? PD))"""
"447	""447	UFO sighted over Nanticoke PA"""
"448	""448	4 fireballs side by side"""
"449	""449	Driving on kent kangley road I observed a triangle arrangement of lights hovering about 100 feet off the ground.  The lights were multi"""
"450	""450	About 9:00 pm&#44 Oct. 11&#44 2012&#44 driving home I first heard strange high-pitched siren-like sound&#44 and rolled down my window to hear what"""
"451	""451	10/11/12  Phoenix&#44 AZ  Sphere  30 sec   Yellowish-orange flashing sphere seen by myself        10/12/12"""
"452	""452	Red circular object surrounded by yellow glow flying w/no sound quickly coming out of east turning southbound"""
"453	""453	10 or so dimly lit white lights in a large arrow shape formation moving at high rate of speed."""
"454	""454	Enlarged still frame pics of the video show strage shapes and strange colors."""
"455	""455	Two slow moving star-like objects suddenly accelerated to light speed heading towards Jupiter"""
"456	""456	Five orange flying objects in the nights sky and no sound."""
"457	""457	Glowing blue sphere in Ontario&#44 Canada."""
"458	""458	Massive caravan of a hundred red/orange fireballs moving from west to east at a steady rate in formation for at least ten minutes."""
"459	""459	Silent blue and white lights of craft object change color&#44 approach myself and boyfriend&#44 before changing into buzzing&#44 everyday plane"""
"460	""460	Some sort of fireball came down from the sky very rapidly soon to turn into 3 flying disc that where lit up (clearly not stars) they se"""
"461	""461	4 or 5 Orange Lights in Vermont Sky"""
"462	""462	Glowing Orange Fireball/Lights Seen at Turpin HS Football Game."""
"463	""463	Cincinnati fire ball in the sky?"""
"464	""464	Circle of Different color flashing light over gulf in naples"""
"465	""465	15-25 red/orange lights moving at a low altitude in the same pattern with no sound at all."""
"466	""466	3 fireball type objects close to downtown Cincinnati."""
"467	""467	amber fireball descending&#44splits into 3 objects&#44stops&#44they hover above ground with erratic movements"""
"468	""468	4 orange orbs zig zgging across the sky.  Quick movements forward and aft and side to side."""
"469	""469	Saw a bunch of low-altitude lights drifting overhead."""
"470	""470	Blue white streak in sky&#44 2 orange orbs splitting. seems like it landed."""
"471	""471	Brilliant slow moving light in fayetteville ny."""
"472	""472	Groups of glowing orange objects moving randomly from east to west over Jupiter Inlet area at approximately 10:00 pm Oct 11&#44 2013."""
"473	""473	At or around 22:00 hours my Mother called me outside to look at something My Father and I walked out the front door and observed a larg"""
"474	""474	Large Orange Sphere over Polk county Wisconsin."""
"475	""475	5-8 orange lights over suburban Chicago"""
"476	""476	5 orange lights seen in sky over windsor."""
"477	""477	Fireball over the Strip."""
"478	""478	Large orange fireball observed over Hell&#44 Michigan&#44 traveling from due south to due north directly overhead."""
"479	""479	SEVENTY SOME  FLYING DISK OBSERVED IN  1950"""
"480	""480	UFO seen by multiple U. S. military personnel"
"481	""481	1952 daylight sighting of multiple discs in formation"""
"482	""482	I saw the craft go across the horizon.  It appeared to be on fire&#44 I first thought it was a plane going down.  It landed near a farm."""
"483	""483	NO KNOWN AIRCRAFT (1955 and maybe today) COULD MAKE SUCH A SPEEDY 360 DEGREE CIRCLE MANUVER&#44 WITH NO SOUND &#33"""
"484	""484	Disk with glass center section&#44 and flames behind the glass"""
"485	""485	This incident occurred about October of 1956 or &#8216"
"486	""486	Formation of approximately 8 light gray metallic disks silently crossing the night sky around October 1957 in northern NJ"""
"487	""487	Radar sighting and filming"""
"488	""488	Late 1959&#44 bright lights from a hovering object of unknown shape making a zed-zid zed-zid electrical sound."""
"489	""489	Observed dull silver metallic sphere hovering outside of bedroom window as a child.  Had direct communication with sphere."""
"490	""490	October&#44 1961&#44 Tulsa Oklahoma: low altitude&#44 slow&#44 disk object(s)"
"491	""491	In October 1961&#44 a silvery flattened disk hovered motionless over a local school fair for more than 30 minutes."""
"492	""492	3 flat&#44 large  white lights in delta pattern&#44 no sound&#44 flying at tree-top level at 35-40 mph"""
"493	""493	Cloud&#44 hovering then moving at right angles with pulsating light coming from within"""
"494	""494	Saw sphere ping-ponging up and down and side to side in blue sky."""
"495	""495	It could move very slowly or very quickly but either way it moved without making any noise."""
"496	""496	Unusual ights in distance. Approached until object overhead as wide as road and ditch. Bright lights&#44 Turned head to find object in hor"""
"497	""497	One of the bright stars moved north&#44 curved upward&#44 flew in a wide arc&#44 then accelerated up into the cosmos."""
"498	""498	20 miles driving toward Anacortes&#44a friend and I were listening to a radio station in Anacortes. The DJ said he had recieved calls abou"""
"499	""499	large quiet  craft&#44 covered with blackness&#44 and &quot"
"500	""500	Saucer with no sound flew 100 feet above ground&#44 changed direction then left atmosphere in a split second."""
"501	""501	34 years ago and still &quot"
"503	""503	Large round silver UFO in Peace River Valley 1966-67"""
"504	""504	In October 1967&#44 2 Disks sited heading north over Minneapolis MN."""
"505	""505	as i woke up in the early morning a bright redish orange light bathed the living room&#44at first i thought it was a fire but the light wa"""
"506	""506	While at the boathouse at St.Athonys one night we noticed what at first we thought was a bright star getting larger.It seemed to dart a"""
"507	""507	It was in the afternoon just before sunset at 20 Steiner St SF CA I saw above me and there was one other person who was with me on the"""
"508	""508	U.F.O. in Vietnam    1970"""
"509	""509	Sept. 1970. Kingston Ontario. Spherical grren orb. 3 minute duration. Bright green orb travelled slowly and then took off extremely qui"""
"510	""510	Hoovering disk like object by Father and Son&#44 Brookyln&#44 NY 1970"""
"511	""511	Hoseshoe shaped"""
"512	""512	ball of light&#44 turned into a doughnut shape&#44 assention&#44 stream&#44 4 witnesses&#44seen from higher elevation."""
"513	""513	36 year old reports an object he saw with his mother 31 years ago."""
"514	""514	Saucer/disklike craft&#44 with multi-colored lights sighted in Bayridge Brooklyn in 1970 with many eyewitnesses."""
"515	""515	Bright object seemingly appeared out of nowhere in the Indian Ocean&#44 miles from any land."""
"516	""516	Powerless over UFO sighting."""
"517	""517	Iwas abducted around age 7 or 8. They came will I WAS Asleep. they look into my room from the hall. They took me to a room. I think the"""
"518	""518	Slow moving object splits and one part sped away while the bigger part slowly moved in the opposite direction."""
"519	""519	Classic saucer shape seen in the early seventies."""
"520	""520	STOP AND GO THE SIZE OF A LARG CAR WITH NO WINDOWS"""
"521	""521	Slowly moving boomerang shape with four bluish-white lights on each leading edge"
"522	""522	We saw a large glowing sphere that looked like the moon&#44 but was obviously not since it was very close to us and could manuver."""
"523	""523	Group of  friends an I  follow a UFO on bicycles&#44 I have a sighting alone about a week later."""
"524	""524	Three large bright white craft  interacting &amp"
"525	""525	Large triangular space craft sighted above North Senior High School&#39 football field&#44 in North St. Paul&#44 MN in early October 1&#44 1973"""
"526	""526	We were on the outskirts of town&#44 just passing the sewage treatment plant&#44 when this object with blinding white light enveloped the car"""
"527	""527	Lights in the sky and lost time."""
"528	""528	Oval&#44 brilliant lights&#44 red glow&#44 windows&#44 metallic&#44 no sound"
"529	""529	It was a star shaped object travelling south that stopped&#44 changed colors&#44 and sped off dissapearing in the night sky."""
"530	""530	I was walking home from the Library at North Texas State University after the Library closed.  From a distance&#44 I saw a large red glowi"""
"531	""531	Upon coming home one evening in the early spring&#44 I saw in the eastern horizon three circular objects that looked like three full mooon"""
"532	""532	A bright&#44 huge&#44 and shape-changing object&#44 exploded into numerous smaller spherical objects which moved in formation."""
"533	""533	Sighting 3  An incidence occurred in mid-October&#44 1974. I picked my son up from wrestling practice in the evening after school. We live"""
"534	""534	Three bright star like objects moving across the night sky at the speed of light and stopping on a dime."""
"535	""535	Shaped like the letter &quot"
"536	""536	Group of 4 Orange Objects land near hills just west of small town of Maricopa Arizona... Oct&#44 1975"""
"537	""537	A disk shaped flying object followed the path of our car just above the telephone lines."""
"538	""538	Disk shaped UFO with continous changing color band in the middle.  Hoovered for a few minutes about 3 stories off the ground above a cr"""
"539	""539	Mid-1970&#39s Thonotosassa&#44 Florida sighting at Stacey and Knights Griffin"""
"540	""540	While fishing on the San Joaquin river on Twithchell Island Rd.&#44 at the mouth of the Molklomne river&#44 we observed 2-lights high in the"""
"541	""541	My brother&#44 his friend and I saw an orange pyramid-shaped object in the sky about 25 yards away from us and about 25 yards up.  We were"""
"542	""542	Silhouette&#44 or dark object of craft appeared on moonless&#44 starlit-night&#44 backlit by glow straight overhead&#44 appeared to be approaching"""
"543	""543	saw while parking with girl friend. rising full moonin back ground. 25 ft up. f 50 yrs away over field. hovering. completly silent. one"""
"544	""544	I believe this object was either a test vehicle of some sort or it was not of this world."""
"545	""545	Object hovered for apprx. 5 min. then proceeded west - it was apprx. 300&#39 long 50-75&#39 wide 50-75&#39 high w/lights."""
"546	""546	Silent disk in afternoon daylight with over twenty witnesses"""
"547	""547	Large&#44 low-flying&#44 slow moving&#44 silent black rectangle with no lights"""
"548	""548	Two bright fast-moving star-like objects with one traveling in a zig-zag motion."""
"549	""549	Dancing lights over Olympia"""
"550	""550	Disk appeared over stadium at end of game... spun like a coin on a table...game ended ... never heard a thing about it."""
"551	""551	8 UFOs in a circle suddenly take off radially away from each other."""
"552	""552	A heavy rain night off work and was amazed how heavy it was raining&#44 awake and looking out thru my skylight. Suddenly bright overwhelmi"""
"553	""553	Ball of Fire that changed into a cone shape."""
"554	""554	Sometime during the late 1970-s and early 1980&#8217"
"555	""555	Blimp shaped object with extremely bright lights hovered then rapidly dashed into the night&#39s sky."""
"556	""556	Two people in car see green oval object and lost time"""
"557	""557	Close up view of UFO after unexplained loss of time. 500 Lights On Object0: Yes"""
"558	""558	blazing sphere across the southern sky from 1982"""
"559	""559	Firstly&#44 I was stunned and stared at the object for what seemed minutes&#44 but probably was only seconds. My first inclination was to bec"""
"560	""560	Zero to top Speed Instantaneously"""
"561	""561	My friend and I saw eight oval crafts with lights performing very unusal manuvers"""
"562	""562	it was as large as our house...and silent enough no one inside heard a thing...nor did i"""
"563	""563	Bright light of a  fast moving craft frightened me in the night on the Oregon Coast."""
"564	""564	Light approaches at high rate of speed and makes a ninety degree turn."""
"565	""565	Silent&#44 very large&#44 one white headlight&#44 red lights around edges"""
"566	""566	triangle SHIP 60 to 80 feet high&#44SPEED 3 TO 5 MPH&#44I SAW IT ALL&#44...................."""
"567	""567	Unknown light makes 90 degree turn and disappears."""
"568	""568	Years ago&#44 my husband&#39s aunt and I witnessed something very strange on the way to work early one morning. It was about 5:30am and we we"""
"569	""569	Three lights&#44possibly single or part of object hovered over treeline changing color&#44and shape."""
"570	""570	we were driving north on hwy 101 from san luis obispo to atascadero&#44 when from the west came a &quot"
"571	""571	Red Light seen in Lawrence&#44 Kansas&#44 during Johnny Carson&#39s Monologue"""
"572	""572	BRIGHT OBJECT DROPPING &quot"
"573	""573	Black triangular craft with green lights hovering over the tree tops"""
"574	""574	Missing time after seeing something that looked like the Northern lights."""
"575	""575	An &quot"
"576	""576	Large red and orange sphere&#44 balanced on a rock in 1987."""
"577	""577	Two small glowing oval orange objects and one larger triangle craft in rural Oregon."""
"578	""578	sitting   in  a  car in a open  field&#44 keeping in mind this is in a  town where  we are in  the hills.  the  field during  the day has"""
"579	""579	Large black triangular object with lights on each side and at the points making no discernible noise."""
"580	""580	LARGE SAUCER"""
"581	""581	3 starlike objects land on 1 large orange oval object in full daylight in sight of dozens of witnesses."""
"582	""582	Three gold circle UFOs fly in formation&#44 warp drive away and disappear."""
"583	""583	Large oval craft with lights above house on north side of Route 55 between Pawling and Freedom Plains&#44 NY&#44 late 1980&#39s."""
"584	""584	Black rectangular craft over carmichael."""
"585	""585	Silent Lo-flying Craft with Dome and Bright White Lights"""
"586	""586	One Gray metal oval disc&#44 aporx. 10&#39x50&#39&#44 clear sky&#44  1 qaurter mile away"""
"587	""587	a small light in the sky&#44 making the shape of a equiangular triangle then shooting away at a high rate of speed."""
"588	""588	A row of porthole shaped lights hovering at an altitude of approx. 500 feet spanning a distance of about 1 mile."""
"589	""589	Hockey-puck-shaped-thing."""
"590	""590	Patterned disks over southern california sky."""
"591	""591	Silver&#44 cigar shaped object north of downtown Maryville&#44 TN in or around 1991"""
"592	""592	Triangular arrangements of lights appearing to begin to land on freeway&#44 miltary-ish cars mobilze around it"""
"593	""593	I saw a saucer shaped obiect with blue&#44 red&#44 green flashing lights on the way home from college."""
"594	""594	For seven years I have kept this fairly quiet. I was walking my dog on a clear dark night where I live on the north west side of Las Ve"""
"595	""595	A small globe descended from beneath the larger craft."""
"596	""596	This was an object that could hover stationary and then accelerate to 2&#44000 mph or possibly much higher... it would move instantaneousl"""
"597	""597	While driving home from out-of-town&#44 I watched a dot in the sky that later hoovered over my car."""
"598	""598	MISSOURI INVESTIGATORS GROUP Report:  We saw a large football shaped object hovering above an apartment complex ."""
"599	""599	I observed one nite several objects flying in a kind of oval formation and change to a vee formation. There wasn&#39t any sound."""
"600	""600	My friend and I saw a triangle made of smaller triangles fly over us at a low altitude."""
"601	""601	Lights in localized semi-rural area&#44 beams emitted&#44 possible sound&#44 possible contact&#44 video tape"""
"602	""602	Floating Light&#44 Like a Spotlight"""
"603	""603	It was triangle shape with white lights at each corner of it and a large red one in the middle."""
"604	""604	a flying colorful disc above my car&#44 near Erie.  ((NUFORC Note:  Possible hoax??  PD))"""
"605	""605	orange molten-metal&#44 crescent-shaped object paralleling car for 15 - 20 minutes"""
"606	""606	Chicopee State Park&#44 Craft seemed to be shooting balls of light or breaking up"""
"607	""607	Black triangle"""
"608	""608	Triangle shaped object hovering above the water."""
"609	""609	Bright green object in flight allmost colided with my aircraft."""
"610	""610	I was driving by on the road and seen this saucer &#44 it was ON the ground near a house. I stopped down the road and got out to get a clo"""
"611	""611	Man witnesses 2 &quot"
"613	""613	Man reports witnessing 2 &quot"
"614	""614	Disintegrating object."""
"615	""615	Low flying rectangular object with very bright lights on all sides."""
"616	""616	The object was made up of a formation of small lights&#44 plus one light moving independantly  around main formation"""
"617	""617	Sheild shaped craft spotted at outdoor concert with orange glow&#44 moivng at high speed."""
"618	""618	Triangle with three large&#44 dim&#44 amber lights flew rapidly overhead and rotated once."""
"619	""619	Man reports wife went out to empty trash&#44 disappears for 90 min.&#44 returns disoriented and acting strangely."""
"620	""620	six light triangle in dover"""
"621	""621	Deep Blue Sphere seen over Lake Berryessa&#44 California"""
"622	""622	Three bright orange-white lights moving in a V formation from northeast to Southwest The center light would change position front to re"""
"623	""623	Low-flying triangular object"""
"624	""624	Possible UFO Sighting&#44 Manhattan&#44 New York 1996"""
"625	""625	Metalic ball floating motionless in high winds over San Jose&#44 CA."""
"626	""626	Antigravity flying sphere"""
"627	""627	2 orange fireballs moving across sky ~ crazy acrobatics"""
"628	""628	In october 1997 my dad and I seen 3 lights in the shape of a triangle tumbling over each other in Bemidji Minnesota."""
"629	""629	I had just got off of work at 1:15 a.m. I was driving down to the Hypermart USA because it was the only store open 24 hrs. I notice thi"""
"630	""630	Rural mountain area. Tree covered hill. 1860&#39 MSL. I awoke to see a bright white light approx 1&#44500&#39 so east of my camper. The circular"""
"631	""631	noisy rectangular object falling from the sky and crash landed"""
"632	""632	Cigar shaped&#44 silvery-white object @ 500-1&#4400&#39 up&#44 in a clear blue&#44 cloudless sky.  Object was silent&#44 immobile&#44 and when I glanced dow"""
"633	""633	Three red lights"""
"634	""634	Large&#44 black&#44 triangular&#44 object flew low and silent over South Carolina state prison yard."""
"635	""635	WIFE AND I DROVE ONTO START OF OUR STREET&#44 NOTICED TWO LIGHTS NOT USUALLY THERE.  STOPPED CAR&#44 GOT OUT&#44 SAW TWO CRAFTS.  NO NOISE AND H"""
"636	""636	I was traveling home from visiting my dad in Carle Hospital on 113 heading towards Custer Park&#44 IL. It was dark out I was in farm count"""
"637	""637	High altitude light turned&#44 dropped several Thousand feet&#44 turned and disappeared&#33"""
"638	""638	Yellow/Orange lighted object moving from NE to SW. Very bright toy top shape with no sound. About the size of a penny held at arm reach"""
"639	""639	Triangular shape with lights in a V&#44 no sound&#44 very slow moving."""
"640	""640	3 oval shaped reddish-orange lights flew over my house&#44 heading directly south. The lights formed a perfect triangle&#44 but flying severe"""
"641	""641	We saw 5 triangular objects moving at high altitude to the south&#44 circling each other like small birds."""
"642	""642	GETTING OUT OF MY CAR TO WORK&#44I SAW A WIDE GREEN STREAK OF LIGHT IN THE SOUTHWEST SKY&#44FROM SKY TO GROUND..........."""
"643	""643	We own a farm here in St. Paul. We (my mother and I) had pulled off to the side of the road to check on some farm equipment we had in a"""
"644	""644	burnt out disk  gets ride from trucker to air force base"""
"645	""645	Sighted during the major meteor shower last year."""
"646	""646	Large light object in sky with lightning storm and huge beam of light from below in  southern Colorado"""
"647	""647	Soccer Balls over SF"""
"648	""648	I can only say that I know what I saw&#44  I even took a digital picture of it.  1:30 in the afternoon&#44  clear blue sky&#44  an airplane head"""
"649	""649	Fireball streaked across the sky and fizzled out 5 miles inland"""
"650	""650	At dusk&#44 an orange&#44white&#44pink&#44and voilet color fireball traveled totally horizontal west to east&#44not as fast as a shooting star&#44and the"""
"651	""651	hovering above city landfill.  beam of light from craft to ground."""
"652	""652	silent and large UFO just above tree tops."""
"653	""653	It was a clear night&#44 the fireball was huge and you could almost hear a rumbling. It shot across the sky from left to right at an incre"""
"654	""654	3 orange fireballs in triangle formation - 1 triangle shaped craft without sound."""
"655	""655	An object which resmbled car headlights in the sky was spotted to SW.  A discernable craft flew directly overhead and proceeded to disa"""
"656	""656	I was driving south on U.S. Hwy 51 and I saw a craft that didn&#39t move for 5 or more minutes.  The craft also made no noise."""
"657	""657	Observed amber bright light decending for apx. 20 seconds."""
"658	""658	a green-blue light comes out and down out of a cloud&#44 and goes back into the cloud"""
"659	""659	looking west the object appeared approx near the top of our atmosphere. It was huge&#33 It at first just seemed to appear out of thin air."""
"660	""660	The front was shaped like a triangle&#44 with two lights on the wing tips. Blueish-gray in color...Low rumbling sound&#44 Moving very slow. """
"661	""661	I witnessed a being in the middle of the day in Manhattan about six and a half feet&#44 its face definately not human?"""
"662	""662	Soundless cigar shaped object(s) transited South to North. Weather- clear&#44 unlimited visibility&#44 near 70 degrees F."""
"663	""663	A moving object which possibly changed speed and direction in an unorthodox manner"""
"664	""664	On Friday October 1 around 7 in the evening I was driving south and about 50 miles east of Nellis Air Force base.I noticed an bright ob"""
"665	""665	Red and Green light in the sky."""
"666	""666	Looked up an saw tiny points of light creating the shape of a Chevron."""
"667	""667	upside down V formation of 9 birght lights on high altitude changed to M formation in less than a second"""
"668	""668	The lights changed colors and there was a strange noise."""
"669	""669	THE OBJECT WAS UP TO HIGH FOR DETAIL BUT WAS CIRCLE IN SHAPE AND WAS BRIGHT WHITE LIGHT"""
"670	""670	It was some time in oct 2000.I was taking my wife to work on Markham road&#44 traveling south bound. There was a lot of traffic and lots o"""
"671	""671	Picture taken of disk in sky&#44 that appears to be somthing out of the ordinary."""
"672	""672	A bright oval shaped light flying faster than anything I had ever seen before."""
"673	""673	Two strange bright objects at dusk in the central valley."""
"674	""674	tHIS IS A CORRECTION TO A REPORT THAT I MADE LAST WEEK.   WHEN WE SAW THE LIGHT MY WIFE AND NEIGHBOR WERE BEHIND ME AND THEY WSAW THE O"""
"675	""675	Faint starlike object  moving in space at high speed stopped and lined up with other 3 faint stars."""
"676	""676	bright white light the size of a distant star that made eratic movements&#44 and complete stops"""
"677	""677	Hovered&#44 huge&#44 flashing&#44 silent&#44 wierd."""
"678	""678	UFO sighted in Wheaton&#44 MD"""
"679	""679	Two points of light darted across the sky side by side&#44 crossed paths and continued out over the Florida Panhandle"""
"680	""680	saw 4 lights going in what i thought was a clover formation"""
"681	""681	white disappearing lights"""
"682	""682	light in sky projecting &quot"
"683	""683	Three glowing spheres under dark triangular shape&#44 no sound"""
"684	""684	2 objects over jones beach NY&#44 sent Red beam then blue beam on our car."""
"685	""685	just a meteor sighting..."""
"686	""686	3 bright lights at high altitude west of Kansas City at 2100 hours on 10/1/01 in a general westward movement."""
"687	""687	Spotted Triangular object while exiting highway&#44 almost crashed into cop&#44 was not even pulled over."""
"688	""688	Incandescent light-greenish Orb with Red Halo spotted in sky over Northern woods.................."""
"689	""689	black triangle &#44 3 lights&#44 silent swift movement&#44 near air force base"""
"690	""690	Low flying object changed from bright blue square to red diamond shape...loud ..then silence and it was gone."""
"691	""691	Outline: 1) Clear dark night.2) directly above me 3) appeared to be an orbitting satellite but was bluish and smaller than most."""
"692	""692	Bright flash witnessed near Albany&#44 New York"""
"693	""693	go to:  http://www.24horas.com.pe/data/videos/reportajes/repor020203_2.php for a 15 min report that aired last Feb 2nd on Peruvian TV P"""
"694	""694	Look I can&#39t recall the date exactly&#44  but it was in that area of time especially the hour of night.  It could be in a range of two wee"""
"695	""695	Sighting in Hong Kong SAR"""
"696	""696	lights moving in the sky 7 landing in Oakland over coliseum &amp"
"697	""697	Among the Northern lights a bright green fireball from West to East"""
"698	""698	Giant Blue-Green fireball falls from the sky at 0530 in washington state"""
"699	""699	A large metor going through the atmosphere&#44 white tail turning blue and then red/orange and disapear."""
"700	""700	While traveling north on hwy 167. A green light traveling from the west&#44 and heading east flew across the sky. The round light appearin"""
"701	""701	Silent large flying v of 5 orange glowing patches gives fright."""
"702	""702	On the morning of 10/01/02 I was driving to work on HI5 in Seattle Wa. and I was south bound by the old Rainier Brewery and saw a brigh"""
"703	""703	Initially a comet in appearance&#44 but speed was too slow."""
